question,system,answer,factual_accuracy,faithfulness,groundedness,hallucination_rate,retrieval_precision,retrieval_recall,response_diversity,clinical_safety_score,latency_seconds,token_usage,fluency_coherence,timestamp
What are the early warning signs of sepsis?,LLM,sample llm answer text here for testing diversity metrics,0.7398685661204493,0.0,0.0,0.26446942795315265,,,0.7794306561430208,0.7556908956922407,1.7531693250553329,175,0.9215842563101478,2026-06-21T00:00:00Z
What are the early warning signs of sepsis?,RAG,sample rag answer text grounded in source 1 for testing,0.9030230418745873,0.8559157684219514,0.8862768013075789,0.08073164614375075,0.7767135123214872,0.7620981135783017,0.7426015926602662,0.8855016433497394,2.4313137412277084,349,0.8462849466519055,2026-06-21T00:00:00Z
What is the first-line treatment for type 2 diabetes?,LLM,sample llm answer text here for testing diversity metrics,0.6836790369791516,0.0,0.0,0.21350785194658836,,,0.8039694630676466,0.7032267109854039,1.8135056409375847,151,0.8791123455094964,2026-06-21T00:00:00Z
What is the first-line treatment for type 2 diabetes?,RAG,sample rag answer text grounded in source 1 for testing,0.8833276776912959,0.8354701926773309,0.8812709405503701,0.07798722620162389,0.7854153125103362,0.7199146693885301,0.8555683455352682,0.9197300555052413,2.28268672131323,404,0.8155831270005796,2026-06-21T00:00:00Z
What are the symptoms of community-acquired pneumonia?,LLM,sample llm answer text here for testing diversity metrics,0.7283545438001902,0.0,0.0,0.191613195044809,,,0.7201544185330471,0.7159058370760737,1.9476933159990821,183,0.8876870343522352,2026-06-21T00:00:00Z
What are the symptoms of community-acquired pneumonia?,RAG,sample rag answer text grounded in source 1 for testing,0.8709668891323213,0.8256443402889772,0.8484046737481588,0.08078722458080424,0.8528561113109459,0.7671809144784231,0.747108795339118,0.9264816793878959,2.484475315875105,359,0.8522335257768173,2026-06-21T00:00:00Z
How is hypertension diagnosed according to clinical guidelines?,LLM,sample llm answer text here for testing diversity metrics,0.761239980899838,0.0,0.0,0.30725120476464796,,,0.7348234743033208,0.7007236287244635,1.866252686280713,199,0.8804165152430942,2026-06-21T00:00:00Z
How is hypertension diagnosed according to clinical guidelines?,RAG,sample rag answer text grounded in source 1 for testing,0.8744302307000855,0.8368099507798191,0.8341138012775798,0.10625051644788396,0.8678120014285412,0.7463994939209833,0.8301059869367607,0.9272327205009527,2.406464073618463,390,0.8707607313293193,2026-06-21T00:00:00Z
What are the contraindications for ACE inhibitors?,LLM,sample llm answer text here for testing diversity metrics,0.7185669584356019,0.0,0.0,0.33258574623256026,,,0.6814076468773077,0.7346570751312567,1.8174094136476342,174,0.8918352155307101,2026-06-21T00:00:00Z
What are the contraindications for ACE inhibitors?,RAG,sample rag answer text grounded in source 1 for testing,0.8203729325619732,0.8634098433648746,0.8807133771453524,0.11955788089483033,0.7740864890863177,0.7095753198553406,0.784947288692464,0.9383080423540415,2.6986253328979055,364,0.8502653486622671,2026-06-21T00:00:00Z
